id,question,ground_truth
1,"If a candidate has five years of backend experience in Java but no cloud exposure, how should the recruiter evaluate them for a DevOps role?","The recruiter should recognize that while the candidate lacks direct cloud experience, their backend foundation is transferable; they may fit a junior DevOps or require upskilling."
2,"A role requires Python, SQL, and data visualization. The candidate excels at Python but struggles with SQL. Should the recruiter shortlist them, and under what conditions?",They should be evaluated as a strong analytics candidate with a clear SQL gap; shortlist only if SQL is not critical or the team can support fast upskilling.
3,"Two candidates have similar resumes, but one emphasizes leadership in open-source projects while the other lists certifications. Which is likely stronger for a startup?","The open-source contributor, since startups value hands-on problem solving and initiative more than credentials."
4,How would you assess a candidate who failed one coding test but has stellar peer reviews from previous teams?,"Consider peer reviews as qualitative evidence of capability; the test failure might be contextual, so a follow-up interview is justified."
5,"A role asks for deep distributed systems expertise. If the candidate built a large-scale multiplayer game backend but did not design distributed coordination primitives, how should the recruiter interpret this experience?","The experience is adjacent but not equivalent; it shows some scalable backend ability but lacks core distributed systems patterns such as coordination, consistency models, and event-driven concurrency."
6,"If a job post says 'remote-first culture', what implication does it have for the interview process?","It likely means interviews and onboarding are conducted online, and communication skills for remote collaboration will be emphasized."
7,A candidate’s resume lists both AWS and Azure. How can the interviewer verify depth rather than breadth?,"By asking implementation-level questions (e.g., CI/CD setup, IAM, cost optimization) to test hands-on understanding rather than listing familiarity."
8,"If a job post says the company has a 'remote-first culture' but still expects periodic synchronous collaboration, what should a recruiter communicate to a candidate?",The recruiter should clarify that the company is remote-friendly but not fully remote; real-time collaboration and occasional in-person participation are still required.
9,"If a junior candidate mentions experience in prompt engineering for LLMs, how should that be interpreted?",As emerging specialized knowledge; relevant mainly if the role involves NLP or AI applications.
10,A data scientist candidate optimized a model to 98% accuracy but with unexplainable predictions. Should this be considered success?,"No, interpretability and fairness are critical; the result indicates possible overfitting or lack of transparency."
