round,acc
1,0.2
2,0.2
3,0.195
4,0.225
5,0.2625
6,0.2575
7,0.2575
8,0.2625
9,0.2625
10,0.27
11,0.275
12,0.275
13,0.2875
14,0.3075
15,0.3125
16,0.3225
17,0.325
18,0.3275
19,0.335
20,0.3425
21,0.3525
22,0.355
23,0.365
24,0.3775
25,0.38
26,0.385
27,0.3875
28,0.3925
29,0.3975
30,0.3975
31,0.4025
32,0.41
33,0.425
34,0.435
35,0.4425
36,0.4475
37,0.455
38,0.46
39,0.4725
40,0.475
41,0.4825
42,0.4825
43,0.4875
44,0.4925
45,0.5075
46,0.5125
47,0.52
48,0.53
49,0.535
50,0.5425
51,0.55
52,0.56
53,0.5675
54,0.5725
55,0.5825
56,0.59
57,0.5925
58,0.5925
59,0.6
60,0.6125
61,0.615
62,0.615
63,0.625
64,0.6275
65,0.6325
66,0.645
67,0.655
68,0.66
69,0.665
70,0.6725
71,0.68
72,0.685
73,0.6925
74,0.6975
75,0.7075
76,0.7175
77,0.725
78,0.7375
79,0.7425
80,0.745
81,0.745
82,0.75
83,0.76
84,0.76
85,0.7625
86,0.765
87,0.7725
88,0.7725
89,0.775
90,0.7775
91,0.7825
92,0.7875
93,0.7925
94,0.795
95,0.7975
96,0.8025
97,0.805
98,0.81
99,0.815
100,0.825
