round,acc
1,0.2
2,0.2
3,0.195
4,0.225
5,0.2625
6,0.26
7,0.255
8,0.26
9,0.265
10,0.27
11,0.275
12,0.28
13,0.2925
14,0.3
15,0.305
16,0.32
17,0.3225
18,0.325
19,0.3325
20,0.3425
21,0.345
22,0.355
23,0.36
24,0.3625
25,0.3725
26,0.385
27,0.3875
28,0.39
29,0.3925
30,0.395
31,0.4025
32,0.41
33,0.4125
34,0.43
35,0.4375
36,0.4425
37,0.4525
38,0.465
39,0.4725
40,0.4775
41,0.4875
42,0.49
43,0.495
44,0.495
45,0.505
46,0.51
47,0.5125
48,0.515
49,0.52
50,0.5275
51,0.53
52,0.5525
53,0.5625
54,0.5675
55,0.57
56,0.5825
57,0.59
58,0.6025
59,0.61
60,0.6125
61,0.6225
62,0.6325
63,0.635
64,0.6375
65,0.65
66,0.655
67,0.665
68,0.6675
69,0.675
70,0.675
71,0.6775
72,0.6875
73,0.705
74,0.71
75,0.715
76,0.72
77,0.725
78,0.735
79,0.7375
80,0.7425
81,0.745
82,0.7525
83,0.755
84,0.755
85,0.7575
86,0.7625
87,0.7675
88,0.7775
89,0.78
90,0.78
91,0.79
92,0.795
93,0.7975
94,0.8
95,0.805
96,0.8075
97,0.8075
98,0.8125
99,0.8175
100,0.825
