round,acc
1,0.2
2,0.2
3,0.1875
4,0.2275
5,0.205
6,0.22
7,0.2275
8,0.2275
9,0.2275
10,0.2325
11,0.235
12,0.235
13,0.2425
14,0.2425
15,0.2475
16,0.2475
17,0.2525
18,0.2575
19,0.2575
20,0.265
21,0.27
22,0.2725
23,0.2725
24,0.2725
25,0.2775
26,0.2875
27,0.2975
28,0.3
29,0.305
30,0.3075
31,0.32
32,0.325
33,0.3325
34,0.3425
35,0.3525
36,0.36
37,0.37
38,0.3775
39,0.38
40,0.38
41,0.3975
42,0.4025
43,0.4175
44,0.42
45,0.4275
46,0.44
47,0.4475
48,0.455
49,0.46
50,0.465
51,0.4675
52,0.47
53,0.4725
54,0.4725
55,0.4725
56,0.485
57,0.4975
58,0.505
59,0.52
60,0.5225
61,0.53
62,0.5325
63,0.5475
64,0.5525
65,0.5575
66,0.57
67,0.575
68,0.5875
69,0.5975
70,0.6025
71,0.615
72,0.6275
73,0.6325
74,0.6425
75,0.6425
76,0.645
77,0.645
78,0.6525
79,0.655
80,0.6575
81,0.6725
82,0.675
83,0.6775
84,0.685
85,0.685
86,0.6875
87,0.6875
88,0.69
89,0.7
90,0.7025
91,0.7025
92,0.7025
93,0.7125
94,0.7175
95,0.725
96,0.73
97,0.735
98,0.7375
99,0.7375
100,0.7425
