round,acc
1,0.18
2,0.2075
3,0.215
4,0.2125
5,0.215
6,0.2175
7,0.2175
8,0.2175
9,0.2225
10,0.2275
11,0.2275
12,0.2275
13,0.2275
14,0.23
15,0.2325
16,0.2325
17,0.2325
18,0.2325
19,0.2375
20,0.2375
21,0.2375
22,0.24
23,0.2425
24,0.2425
25,0.2425
26,0.245
27,0.245
28,0.245
29,0.245
30,0.2475
31,0.25
32,0.2525
33,0.2525
34,0.255
35,0.2575
36,0.2575
37,0.2575
38,0.2575
39,0.2625
40,0.2625
41,0.265
42,0.265
43,0.265
44,0.27
45,0.2725
46,0.2725
47,0.2725
48,0.2725
49,0.2725
50,0.2725
51,0.2725
52,0.275
53,0.275
54,0.275
55,0.2775
56,0.2775
57,0.2775
58,0.28
59,0.28
60,0.28
61,0.28
62,0.28
63,0.28
64,0.2825
65,0.2825
66,0.2825
67,0.2825
68,0.285
69,0.285
70,0.285
71,0.285
72,0.2875
73,0.2875
74,0.2875
75,0.2925
76,0.2925
77,0.2925
78,0.2925
79,0.2925
80,0.2925
81,0.295
82,0.295
83,0.2975
84,0.2975
85,0.3
86,0.305
87,0.305
88,0.305
89,0.305
90,0.305
91,0.305
92,0.305
93,0.305
94,0.3125
95,0.3125
96,0.3125
97,0.3125
98,0.315
99,0.3175
100,0.3175
