delta,epoch,epsilon,test_acc,sigma,clip,lot_size
0.00031259768677711783,1,0.29854179662267744,0.25,1.5,0.17,60
0.00031259768677711783,2,0.4223952686462532,0.2512499988079071,1.5,0.17,60
0.00031259768677711783,3,0.5205922326046079,0.2562499940395355,1.5,0.17,60
0.00031259768677711783,4,0.6052692657962313,0.2800000011920929,1.5,0.17,60
0.00031259768677711783,5,0.6811923181111803,0.32499998807907104,1.5,0.17,60
0.00031259768677711783,6,0.7508329585156563,0.3474999964237213,1.5,0.17,60
0.00031259768677711783,7,0.8156731488965019,0.36250001192092896,1.5,0.17,60
0.00031259768677711783,8,0.8766858890812651,0.42124998569488525,1.5,0.17,60
0.00031259768677711783,9,0.9345515676928099,0.46875,1.5,0.17,60
0.00031259768677711783,10,0.9897684700616376,0.5587499737739563,1.5,0.17,60
0.00031259768677711783,11,1.0427147197508444,0.6012499928474426,1.5,0.17,60
0.00031259768677711783,12,1.0936854269579162,0.6549999713897705,1.5,0.17,60
0.00031259768677711783,13,1.1429162767600511,0.612500011920929,1.5,0.17,60
0.00031259768677711783,14,1.1905991050347824,0.6524999737739563,1.5,0.17,60
0.00031259768677711783,15,1.2368925717181178,0.6775000095367432,1.5,0.17,60
0.00031259768677711783,16,1.2819297259323368,0.7362499833106995,1.5,0.17,60
0.00031259768677711783,17,1.32582341658859,0.7049999833106995,1.5,0.17,60
0.00031259768677711783,18,1.36867044003394,0.7287499904632568,1.5,0.17,60
0.00031259768677711783,19,1.4105544756105586,0.731249988079071,1.5,0.17,60
0.00031259768677711783,20,1.4515485739163778,0.7537500262260437,1.5,0.17,60
0.00031259768677711783,21,1.491716844503397,0.7612500190734863,1.5,0.17,60
0.00031259768677711783,22,1.5311160364083252,0.7362499833106995,1.5,0.17,60
0.00031259768677711783,23,1.5697965756986905,0.7275000214576721,1.5,0.17,60
0.00031259768677711783,24,1.6078035745080954,0.7574999928474426,1.5,0.17,60
0.00031259768677711783,25,1.6451775788439715,0.7599999904632568,1.5,0.17,60
0.00031259768677711783,26,1.6819551658919076,0.7437499761581421,1.5,0.17,60
0.00031259768677711783,27,1.7181694989780427,0.7475000023841858,1.5,0.17,60
0.00031259768677711783,28,1.7538507504962917,0.7425000071525574,1.5,0.17,60
0.00031259768677711783,29,1.7890264525019617,0.7524999976158142,1.5,0.17,60
0.00031259768677711783,30,1.823721834840633,0.7574999928474426,1.5,0.17,60
0.00031259768677711783,31,1.8579600701251477,0.7574999928474426,1.5,0.17,60
0.00031259768677711783,32,1.891762523415293,0.7787500023841858,1.5,0.17,60
0.00031259768677711783,33,1.9251489028589692,0.7875000238418579,1.5,0.17,60
0.00031259768677711783,34,1.9581374862551717,0.800000011920929,1.5,0.17,60
0.00031259768677711783,35,1.9907452250752489,0.8037499785423279,1.5,0.17,60
0.00031259768677711783,36,2.0229878884594,0.7950000166893005,1.5,0.17,60
0.00031259768677711783,37,2.0548801788559525,0.78125,1.5,0.17,60
0.00031259768677711783,38,2.086435836665326,0.7975000143051147,1.5,0.17,60
0.00031259768677711783,39,2.1176677016834167,0.8062499761581421,1.5,0.17,60
0.00031259768677711783,40,2.1485878242439957,0.7987499833106995,1.5,0.17,60
0.00031259768677711783,41,2.1792075088347262,0.7875000238418579,1.5,0.17,60
0.00031259768677711783,42,2.2095373939206873,0.7875000238418579,1.5,0.17,60
0.00031259768677711783,43,2.239587496679179,0.7975000143051147,1.5,0.17,60
0.00031259768677711783,44,2.2693672598980523,0.7975000143051147,1.5,0.17,60
0.00031259768677711783,45,2.2988856079184785,0.7837499976158142,1.5,0.17,60
0.00031259768677711783,46,2.3281509761420254,0.7900000214576721,1.5,0.17,60
0.00031259768677711783,47,2.3571713530560094,0.8050000071525574,1.5,0.17,60
0.00031259768677711783,48,2.385954314336724,0.8137500286102295,1.5,0.17,60
0.00031259768677711783,49,2.4145070440355965,0.8187500238418579,1.5,0.17,60
0.00031259768677711783,50,2.442836368846294,0.8199999928474426,1.5,0.17,60
0.00031259768677711783,51,2.47094878789272,0.8174999952316284,1.5,0.17,60
0.00031259768677711783,52,2.498850482219589,0.8137500286102295,1.5,0.17,60
0.00031259768677711783,53,2.526547339483401,0.8162500262260437,1.5,0.17,60
0.001,1,0.24245340247822672,0.22374999523162842,1.5,0.17,60
0.001,2,0.35094142172811443,0.24250000715255737,1.5,0.17,60
0.001,3,0.43746952466980626,0.2750000059604645,1.5,0.17,60
0.001,4,0.5123777464644993,0.2849999964237213,1.5,0.17,60
0.001,5,0.5797405252955761,0.33500000834465027,1.5,0.17,60
0.001,6,0.6416761294586774,0.32124999165534973,1.5,0.17,60
0.001,7,0.6994569822409685,0.3512499928474426,1.5,0.17,60
0.001,8,0.7539199374975272,0.3425000011920929,1.5,0.17,60
