text,label,label_text,text_length
Great Company that cares about their employees,5,good,7
"Good job, great pay with bonus ramp up the sales cycle is a bit long.",5,good,15
Good place to start your career. No hikes,4,good,8
The Best Force in the World,5,good,6
"A really nice place to learn, but not a great place to earn",4,good,13
It's a good place to work if you've chosen hospitality as your career,4,good,13
Amazing Culture + Hyper-Growth = TONS of Opportunity,5,good,8
Working as an assistant at Kumon is a great job for students.,4,good,12
"Lots of work, little home time",4,good,6
Good foundation for later in life.,5,good,6
Good job if you don't need money,5,good,7
"Nice local staff, too high turnover.",4,good,6
Full Time USPS jobs can be fansastic,4,good,7
Decent chain pub to work for.,5,good,6
Its a great working place with a great culture and a great team,5,good,13
slightly overworked for not enough pay,4,good,6
"Great company, progressive mindset and growth opportunities",5,good,7
The company worked with me over time to align my job with my evolving interests.,5,good,15
It’s an ok job possible career,4,good,6
Great experience! Enjoy coming to work every day!,5,good,8
American Red Cross of Greater Chicago,5,good,6
I love what I do its just hard working with certain people there.,4,good,13
I have been working at Seagate Technology full-time (More than 2 years),4,good,12
A well balanced and fair company,5,good,6
This experience taught me the basics on support equipment design.,4,good,10
"Cutting Edge Tech Experience, Silicon Valley Vibe",5,good,7
Good place to work.  Lack of management engagement with staff.,4,good,10
A wonderful journey and great guidance,4,good,6
Good consulting experience within the technology industry,5,good,7
Impressions of the Electronics Research Lab,4,good,6
Relaxed work place with business potential,4,good,6
Favorite job I have ever had.,5,good,6
Good Pay for a first time job.,4,good,7
Company with great culture and excellent work environment,5,good,8
A good company to work for,4,good,6
Head of Creative and Social Media,5,good,6
Future is bright for the team,4,good,6
One of the best pharmaceutical companies,5,good,6
Good if you want long term career,4,good,7
"Good place to work, they give you plenty of hours because they are open later than most restaurants.",4,good,18
"Brilliant team, great opportunities and benefits.",5,good,6
Excellent Company and Culture to work for,4,good,7
Good company has good work and balance,4,good,7
Overall a good place to work.,5,good,6
Good but the pressure and monotony can be daunting.,4,good,9
"I love the work I do at Pet Supplies Plus, but there are a few things I would change.",4,good,19
Good place to start career in Business Intelligence,4,good,8
Hcl is a Good place to work,5,good,7
Very much satisfied experience with Ness Technolgies.,4,good,7
Exciting and peculiar company to work for,5,good,7
Solid company with many good prospects,5,good,6
it is a nice place for you to study and do research.,5,good,12
Great place to work and build various skillsets for furthering your career.,4,good,12
Not a bad place to work,4,good,6
"Fantastic work/life balance, normal contracting issues",4,good,6
A growing company with good work life balance,4,good,8
What happens past 25 years of service?,4,good,7
One of the best and stable organizations,5,good,7
It's been a great experiences working in this Company.,4,good,9
IFB fuels ones soul for serving and making a good living.,5,good,11
Very employee centric and good work culture,4,good,7
Great place to gain unique work experience,4,good,7
If you are are fresher then you can give it a try.,5,good,12
"Great company, fun job, good culture, great benefits",5,good,8
Best place I’ve ever worked for!,5,good,6
Financial advancements can be found here.,4,good,6
Good and decent place to work,4,good,6
EPAM is a good place to work at,4,good,8
Very less companies would be better than Nagarro,5,good,8
"Fantastic peers, steep growth in learning tech consulting",4,good,8
Work Study at College of Pharmacy,5,good,6
Ellucian is a great place to work,5,good,7
Comfortable work environment; Work-life balance okay; Upper management very visible; Technical,5,good,11
"I enjoyed the working experience; however, the lack of business exposure made the job mundane.",4,good,15
A great place to work if you do not mind working hard,5,good,12
Really could be a lot worse.,4,good,6
"Best Class Company to Work with Great Leaders, Game Changers",4,good,10
High quality work for customer facing roles,4,good,7
Kroger has changed for the worst.  The associates are not happy.,4,good,11
One of the best companies I have ever worked for.,4,good,10
It is a decent company to work for but requires a significant amount of overtime.,4,good,15
I use to handel finacle maintenance activities and all rates updation,5,good,11
Good company where one can build career,4,good,7
Great co-workers but management is too stressed,4,good,7
Take good care of their employees,4,good,6
Great adventure - really enjoy working here,5,good,7
Great place to work very friendly welcoming,5,good,7
Too bad there was an acquisition,5,good,6
Past experience in Customer service for Kmart,5,good,7
Over all good place to work but poor engineering culture,4,good,10
Review for the DC metro offices,5,good,6
"A good place to work, but not great in some respects",4,good,11
Incredible People! Great place to work,5,good,6
great place to work and gain experience,4,good,7
One of the best company to work in!,5,good,8
Great company with a focus on quality handcrafted luxury products.,5,good,10
This is a Great Place to Work,4,good,7
Great place to work and retire.,5,good,6
Great place but lots of work,5,good,6
it was a great place to work at,4,good,8
Great place to be a part of,5,good,7
Decent place but not sure when working there long hours,4,good,10
"Excellent organization, good opportunity for growth and experience",5,good,8
Great Place to Grow into an Industry,4,good,7
Great experience with an incredible group,5,good,6
Fantastic organization and fun place to work at.,5,good,8
A very special place to work,5,good,6
A very good place to teach and learn.,4,good,8
Best BPO company to work with,5,good,6
Working full time for more than a year,4,good,8
"Overall, an excellent company to work for",4,good,7
"busy, on-call 24/7, but very rewarding and good spring board for other opportunities",4,good,13
Enterprise Management Tools and Automation Independent Consultant,4,good,7
Great place to start your career,5,good,6
A place where qualified and capable people can excel!,4,good,9
The best place i have worked at in my career,5,good,10
I have learned a lot. Being this is my first job as a manager I have learned a lot.,5,good,19
Annual Salary at FedEx for Sr. Software Engineer,5,good,8
Versatile and diligent attorney with 20 + years working for publicly traded and privately held companies.,4,good,16
Worked at the pharmacy through college and really enjoyed my time there.,5,good,12
The Best Employers I've Ever Had,5,good,6
Trilogy is a wonderful place to work,5,good,7
excelent choice to begin your professional career,5,good,7
Great opportunity for the right person,5,good,6
"One of the places I'd like to work in, but there's room for improvement",4,good,14
Great place to be all you can be!,5,good,8
A great experience as key account manager that left me with unforgettable  memories.,5,good,13
Fantastic company in the Ag industry,5,good,6
Manager of maintenance and manufacturing engineering,4,good,6
Very interesting approach to teaching English.,4,good,6
Strong company but lack of innovation,4,good,6
TB cause it really is The Best,5,good,7
It really hard and they pay is horrible,4,good,8
I have worked at CSI for almost 6 years now and I am grateful to be an employee. CSI is a great place to work and study!,5,good,27
Experience of a lifetime and tons of fun.,4,good,8
Great place to work...love my job!,4,good,6
"Extremely compelling employer. Very fair compensation oh, and an excellent team of coworkers",5,good,13
Good place for Students to Work,4,good,6
A good place to work for,4,good,6
"great environment and company, little room for growth",4,good,8
"Good benefits package, though they're starting to degrade little by little (like all companies).",4,good,14
energetic & hard working team driven to find cures for patients,4,good,11
"Young and dynamic company, developing impressive products for offshore access",5,good,10
A large company with pros and cons,4,good,7
Good Company to learn and grow,5,good,6
Good Company to grow your carrier.,4,good,6
They truly care about their employees,5,good,6
"Challenging, committed to change, very slow to develop new business",4,good,10
Agilent is a wonderful place to work!,5,good,7
Very flexible and a toxic free environment to work in.,5,good,10
"Roche has a strong product line and good mid level management, struggles with frequent turnover at executive level.",4,good,18
"People oriented, family oriented, values people",5,good,6
Good employer for benefits and amount of work.,5,good,8
Helps restaurants with marketing and cash,4,good,6
Good Company lots of benefits .. too much kool-aid drinking,4,good,10
"Amazing people, though-provoking work, long work weeks",5,good,7
Fast Pace but Good for Growth,5,good,6
Good place to get your feet wet,4,good,7
What a beautiful place to come to work!,4,good,8
I've been with the company over 10 years.  It's a great company to be with.,4,good,15
"Hard Work , Great pay, Not for the weak",4,good,9
Sofar the best place i hve worked at,5,good,8
Great brokerage to be a part of,4,good,7
Great Benefits for Part Time Work,4,good,6
Great Flexible Work Environment in Florida,5,good,6
Pleasant work place - changi office has plenty greenary,4,good,9
"Amazing place to transform yourself, if you know what you want",5,good,11
One of the Best Internships Around,5,good,6
Good work experience but disappointed with management and facilities,4,good,9
Lovin It while I was there.,4,good,6
Great place to work and learn,5,good,6
Good place for work life balance,4,good,6
Great place to start a career in accounting,5,good,8
"Surrounded by people with a ""can-do"" attitude is great and motivational",4,good,11
A really great company to work for,5,good,7
"Loved the work, but there is typical corporate politics",4,good,9
I work as a TA at UPenn,5,good,7
A great place to work and opens up more doors for outside opportunities,4,good,13
Offers great opportunity and room to advance,5,good,7
Part of TCG & Tatum Merger.,4,good,6
Excellent Work Profile but Salary below market standards,4,good,8
"When you love your job, you never work a day in your life.",5,good,13
Helped me get into acute care,4,good,6
It is helpful in gaining lot experience in short time,5,good,10
The best company I have worked for,5,good,7
Good Global exposure and great team,4,good,6
"Nice Place to Work, but am concerned about woke response to Covid vaccination status.",4,good,14
Right Place to Learn the Right Way,5,good,7
Great company and best company so far.,5,good,7
IGA is a good place to work at for the part-time job,5,good,12
Nokia is still a great company,5,good,6
"Strong, balanced company with command / control style leadership.",4,good,9
Very good advisory franchise particularly in South East Asia / Australia,4,good,11
Its really amazing to work here as the managers they are very  helpful to employees  and I have always felt comfortable,5,good,21
Good experience for a non-experience students,4,good,6
Very friendly work environment with respectful associates and managers.,4,good,9
Wonderful experience for an entry level college student,5,good,8
Company is making an effort to change,4,good,7
Great institution! still red tape though,5,good,6
"IBM is an outstanding company to work for, but it hasn't always been this way",5,good,15
Lots of support at World Languages,5,good,6
"""iPlace is the BEST RPO in Pune!!""",5,good,7
"Tend to members, handle minor membership information, and fold towels.",4,good,10
Great job to get retail experience,5,good,6
So far so goo - enjoying my time here.,4,good,9
Great place for people with ambition,4,good,6
Good place for current student to work.,5,good,7
Many years and still loving it!,5,good,6
Nice atmosphere. HR is kinda unfair.,4,good,6
We are dedicated to providing career opportunities to each and every associate.  Our goal is to provide a career path.,5,good,20
"Great learning opportunities, growth mindset, great culture.",5,good,7
"Save for the ""Security Team"", a decent place to work...",4,good,10
Great benefits and work life balance,5,good,6
Work hard here and be rewarded.,4,good,6
"Having 3 years of Experience in Qlikview, Qliksense Entire development activities.",5,good,11
"A Good Place to Work, Just Be Aware That Management can  Loose Track of How Much THey Are Expecting You to DO",4,good,22
Fast Pace but Good for Growth,5,good,6
It’s a good job for those who don’t have other commitments,5,good,11
Great workplace in a booming industry.,4,good,6
I spent 20 years performing music while serving my country in the US Army.,4,good,14
Great company that places an emphasis on employee well being,5,good,10
"Great talent management programmes, decent compensation and benefits",4,good,8
Friendly and fun place to work,4,good,6
A Company Who Takes Care of It's People,5,good,8
Can be a good place to work,4,good,7
Management is in constant turmoil and transition,4,good,7
Solid company in a solid industry,4,good,6
It's had way more ups than downs.,4,good,7
Good experience for starting a career,4,good,6
I was closely trained and reminded that getting the best and most out of training equaled 100% work.,5,good,18
Mostly positive experience working at corporate office,4,good,7
General Mills-  THE company to work for,5,good,7
"I love working here, they truly care about their associates (employees).",5,good,11
Enterprise System Engineer III at UTSA OIT,5,good,7
"Excellent benefits, but a bit old school",4,good,7
A great job at a wonderful company,5,good,7
Good place to be for the right person.,4,good,8
One of the best place to work for!,5,good,8
Have been working for 9 years,4,good,6
I enjoyed it. Sad the pandemic ended it.,4,good,8
"Great Company, Great place to work",5,good,6
My micro environment at the company is super inclusive.,5,good,9
You will learn something new everyday.,4,good,6
Pretty Fun Seasonal Job at The Lincoln Financial Field,4,good,9
I have been working at WhiteHat Jr full-time for last 2 months.,5,good,12
"Amazing job so far, lots to do but pretty active and lots of new things to learn.",4,good,17
Lots of opportunity - bureacracy can be tricky,4,good,8
Pros and cons to the job,4,good,6
very good company to work for,5,good,6
"Fun workplace, little corporate trust in interns though....",4,good,8
Innovative culture that cares and takes care of people,5,good,9
Great place to work and contribute,5,good,6
Best Place to Work for More Reasons than I Can Count,5,good,11
"Great, well-run company - Analytics Manager",5,good,6
Very Good Employee Friendly Japanese MNC.,5,good,6
Best to start with Virtusa as fresher,4,good,7
A chance to move up the ladder,5,good,7
Excellent place to start your career and build a resume,4,good,10
Overall good company in its category.,4,good,6
Decent company to work at if you can manage to stay in it,4,good,13
Insight to preparing me for the workplace.,5,good,7
Good brand but difficult to grow,4,good,6
Cons and pros of working there,4,good,6
Printing and Personal Systems  Solutions including End to End Services and Manufacturing,5,good,12
Really enjoyed my christmas temp job,4,good,6
"Overall good experience, despite corporate frustrations",4,good,6
"Great people and floor managers, frustrating upper management",4,good,8
Good place to work -work life balance,4,good,7
Good company for stable income family but...,4,good,7
It was a good for a first job.,4,good,8
I've gained a lot of customer service skills while working for Abercrombie & Fitch.,4,good,14
Decent job for high school and college students,4,good,8
Great company to work for despite controversial industry.,4,good,8
working more than one is suppose to,4,good,7
Good company with very strong values and a long history of resilience and community,4,good,14
Wonderful people but management needs to training.,4,good,7
Very good company to work for,4,good,6
"Wont get rich, but there are essential perks",4,good,8
A very nice company to work for if you are in a small station,5,good,14
Overall great place to work but there's always pros and cons,4,good,11
"Good job, especially for someone who is mechanically inclined",4,good,9
I enjoyed the general relaxed atmosphere at Amazon.com.,5,good,8
Really nice company to work for. Two best things are well developed culture & high ethical practice.,4,good,17
I'm still running HP Inc in my veins,5,good,8
"Good company to work with, great environment.",4,good,7
"Overall a good company,  Upper Management needs a reality check",4,good,10
"Good company, good pay, decent benefits...BAD work/life balance",4,good,8
I've worked for A&F for 6 years in counting. I love the job and hope to work my way into management.,5,good,21
Growing company with lots of opportunity,5,good,6
"About the organization, its HR Policies and all",5,good,8
Were your dreams can come true and you have fun at work changing women life's and making them look fabulous.,5,good,20
Verizon still in top ten of best companies to work for,4,good,11
No advancement if you are good at your job,4,good,9
Brilliant place to work with friendly customers and partners,5,good,9
Still a great place to work,5,good,6
Programmer Analyst at Cognizant Technology Solutions,5,good,6
It has been a superb experience working with VMware,4,good,9
30 years of opportunities around the globe,5,good,7
"Good experience, must be able to deal with shifting priorities.",4,good,10
Overall a solid place to work,4,good,6
Not sure I could work anywhere else now!,5,good,8
Product Development Engineer - Steering Systems,5,good,6
Good way to start your career,4,good,6
Awesome Place to start you carrer,5,good,6
JP Morgan is an employee friendly company providing all the best resources possible.,5,good,13
Fraud Specialist II in St. Cloud,5,good,6
it good to work in ut-austin,4,good,6
Work and Life is well balances,4,good,6
Medium size company with chances to grow up,4,good,8
"Good place to work, recent management changes and cost cuts hurting employees",4,good,12
Good job for a college student.,4,good,6
"Overall, this is a really good job.",4,good,7
Good exposure to a variety of opportunities,4,good,7
