text,label,label_text,text_length
"Older Technology, Older Way of Thinking",4,good,6
"Great culture, challenging to grow above Store Manager role",4,good,9
The best people to work with.,5,good,6
Nrg has a lot of great people but the company is in a transition and future seems uncertain at times.,4,good,20
Very Good Learning experience with career growth,4,good,7
"Cognizant is good if you are in to Big Data, SAP or mobiity, DWBI",4,good,14
"Flexible hours, decent pay, good staff",4,good,6
Good company to work for starting out.,4,good,7
Good if you are under good Manager & lEAD,4,good,9
To start as a junior ok!,4,good,6
"A company worth working for, specially for freshers",5,good,8
"Great place to work, some of my best memories",4,good,9
This Facility had the best to offer in Alzheimers' care.....as long as you had the money!!,4,good,16
Very good company for anyone who wants to start their career,4,good,11
A great Company that values all their employees,4,good,8
"PayPal is a great company to work for. The culture is still start-up, yet offers a great work-life balance",4,good,19
actively tries to be a diverse workplace,5,good,7
I am very happy in this company,5,good,7
"I did not use this software, but I used maximo sarss , gate and navsup.",5,good,15
"Excellent opportunity to see growth in people; students, faculty and staff.",5,good,11
Best company I have had the pleasure to work with.,5,good,10
Great place to work for any walk of life,4,good,9
A good place to start a career,4,good,7
Amazing perks! Fun place to work!,5,good,6
"Wholesome, but it's plainly evident that we answer to the Street",5,good,11
Great company to start and end your career. But not so good in-between.,4,good,13
Incredible! Lots to learn about high end couture.,4,good,8
Great Place to Work During College,5,good,6
Providing Quality Service and Products to Customers Every Day!!,4,good,9
One of the best start up companies to work for,4,good,10
"Nice environment to work here, learn many things about my related works..",4,good,12
Fun place to work and great way to get education,5,good,10
It's a great place to work!,5,good,6
It’s what you make of it,5,good,6
Exciting but a lot of change,4,good,6
Largest financial services company in Africa for a reason,5,good,9
Awesome place to kick start ur career,4,good,7
Good start for fresher to develop there career,4,good,8
chase was a great place to work,5,good,7
Great Spins from GM! Could make upto $225 per unit aside from your dealership commission,4,good,15
"Great Cast-Members, Busy Part-Time W/ Full-Time Hours",4,good,7
Great place to make quick money.,4,good,6
Nice place to learn and work,4,good,6
very big company with great platform,4,good,6
Good job to have as a student,4,good,7
I have been employee for a little over a year.,5,good,10
Midway Games Operator - Circus Circus,4,good,6
I feel to happy work in this organisation.,4,good,8
I have total 6.5 year experience in cheese production,5,good,9
Flexible work arrangement and good place to start ur career,4,good,10
It's not easy but it's honest work,4,good,7
Heavy workload but rewarding with great co-workers,4,good,7
"Provide growth to any employee as per there experience, working ability and knowledge.",4,good,13
Supportive company true to their mission,5,good,6
