text,label,label_text,text_length
Multiple acquisitions create disconnected corporate culture and cumbersome system challenges,2,bad,10
A nice place to work in automotive industry in Bulgaria,5,good,10
Good but your experience depends on the team and your manager,2,bad,11
"Over all my 12 years of experience at IBM, Great culture with good work life balance.",4,good,16
"Serving at a chain restaurant, nothing more nothing less. (Fun and awful at the same time)",2,bad,16
Great company but extremely poor and totalitarian management at the U.A.E. store.,1,bad,12
Re-inventing itself for better long term stability and growth,4,good,9
Good Company with Great Opportunities... if you can stick it out,1,bad,11
"20 years of experience: SAP, Linux, Unix, Windows Server, Oracle, Hana db, S/4 hana.",5,good,14
Lack of support and horrific conditions after major earthquake,2,bad,9
Learn and lot but get out and move on,5,good,9
Poor management of people resources against commercial targets. Company is running far too lean.,2,bad,14
"It was fun while it lasted , a good first job",2,bad,11
Navy has treated my family and set me up for success well.,4,good,12
I had a great experience at insight global with the help of Kelsey H. She listened to what I want and was so helpful.,5,good,24
"Great workplace environment, tough calls little empathy from management",4,good,9
Excellent place to work with some of the most intelligent people in the industry,5,good,14
Terrific resume value --- great to start your career not for mid career switches unless you are senior enough !,5,good,20
"Good people with bad management.. Yep, we've seen that already.",2,bad,10
Dropped health insurance early and won’t respond to calls,1,bad,9
Great company to work for and a wonderful opportunity to further your interpersonal skills.,5,good,14
Company is a speeding bullet train about to crash into Mt. Fuji and we are all along for the ride!,2,bad,20
Long Time Associate - Frustrated with Big Corporate Mentality,2,bad,9
"""High turnover, everyone is only there for a paycheck""",2,bad,9
Big Old Bank Trying to Find its Way Forward,2,bad,9
"It has been a decent place to work. Middle of the pack for pay and benefits, but good history of stability. Lagging.",4,good,22
"IBM was one of the best, now it's one of the worst companies in America to work for.",1,bad,18
I was responsible for all soft landscape (Horticulture) development and maintenance for pan India project,4,good,15
Startup culture for a company that is too large to be considered a startup,4,good,14
"Good Company, fast paced environment , room to advance and company stock offerings are very good",5,good,16
great company who is a leader in clothing retail,5,good,9
Happiness with a clinical research position depends greatly on the Principal Investigator,4,good,12
Great place to work - employee friendly and caring organization,5,good,10
Had good days in wipro with my team and supervisours,5,good,10
Rite Aid does not like innovation or new ideas.,2,bad,9
"Good company, long hours depending on area of business",4,good,9
I have been working from last year in CGI,1,bad,9
Extremely inefficient HR management and poor support for onsite staff | Constant Infighting,1,bad,13
Decent company to work for. They know where their strengths and weaknesses are.,1,bad,13
Complete four six month finance rotations in different areas of the business,5,good,12
Amazing benefits and resources but current budgetary crisis is worrying,4,good,10
"Great Vision, good team but poor senior management: Change needed",1,bad,10
Postman with Delivery drive and Sunday callers office duties,5,good,9
Panda express always puts people first. The company focus on people development on a personal level as well as professio,5,good,20
"Steer clear, if you do not want to be micro managed",1,bad,11
"Great bunch of employees to work with, downfall has been profits at all cost.",4,good,14
It was a great career following a career in the United States Navy.,4,good,13
"Overall, a good employer to work for. Modest salaries are balanced by benefits and relative job security.",4,good,17
Has its struggles but willing to work with you,5,good,9
"Flexible, great work-life balance; low morale, not so competitive compensation",2,bad,10
Working here is good if you like being socially isolated,2,bad,10
Amazing products backed up by an amazing business model as long as you don’t expect to just say back and do nothing,5,good,22
Sad look at the job opportunities afforded to the least in our society.,1,bad,13
One of the best organized companies considering the size.,4,good,9
"One of the best CRO , have versatile work areas in Clinical research field.",5,good,14
The louder the better and the Jocks are kings,2,bad,9
"You start the job loving it, and leave the job hating it.",2,bad,12
Its no work at all most of the time.,1,bad,9
It was good money but a horrible working environment,2,bad,9
Great job for students trying to learn from successful people,5,good,10
Very frustrating. Stay away from this place if you are not a Scandi.,1,bad,13
Great job to see the world and make a difference,5,good,10
