text,label,label_text
Keep your options open avoid working here if possible.,1,bad
great oppurtunity working and be part of no.1 financial company.,5,good
Loved it at first and it went downhill from there...,1,bad
A truly amazing place to work. An amazing community with great people and beautiful sights,5,good
DaVita is a better place to work than some of the other dialysis companies out there.,4,good
This Company Has Zero Concept of Lean and Cares Little about their EMployees,1,bad
Need a lot of work to become a good employer,2,bad
Strip your employee benefits once you get your own research funding,1,bad
It's all window dressing. Don't believe what the fancy slogans make you believe.,1,bad
"After over 20 years of dedicated service, I was kicked to the curb..",1,bad
"I am a very hardworker, and willing to help around as much as I can",5,good
I had a great experience with the company. Upper management were good at keeping all employee's up to snuff on polices,5,good
Laid me off due to COVID without a single day on the bench,2,bad
"Work with great people, but company is too superficial",2,bad
It mahorly involves regulatary controlling as well customer service,5,good
One of the Best Federal Agencies to Work For,5,good
"Assistant in daily operation, including different kind of things.",2,bad
"Worst job I’ve ever had, this company only cares about money.",1,bad
Mirabella Seattle- Such a beautiful facility.  So horribly managed.,1,bad
Avoid at all costs if possible. If I could rate 0 stars then I would.,1,bad
"At one point it was my favorite job, now I absolutely hate it!",2,bad
Study the Culture First - Not all teams are a like,2,bad
Terrific place to work. Managed like someone wants you to work there.,5,good
Working here is good if you like being socially isolated,2,bad
A great professional place if you are a self driven and performer,4,good
PwC Acquisition // 12 year IBM Employee // Job Outsourced,1,bad
I beleive he knows the right people for the right positions,5,good
The best in employee welfare and superior service framework and service model,5,good
A good place to work except during a recession,4,good
I have worked with this company now for about 6 months at the cash wrap,2,bad
Large firm with focus on emerging trends and sustainable solutions,4,good
The company's strategy is to give higher management more bonuses and salaries,2,bad
It is a great learning experience working for one of the best company's in real estate.,5,good
I worked at Buffalo Wild Wings for a while. It was a fun experience and I got to meet a lot of great people.,4,good
Excellent pay. Benefits paid. You will not want to leave.,4,good
Great If You Were a Straight White Man in Engineering,1,bad
Not a happy team member for State Farm Agent,1,bad
baby boomer management = work culture stuck in the 20th century,2,bad
