text,label
Keep your options open avoid working here if possible.,1
great oppurtunity working and be part of no.1 financial company.,5
Loved it at first and it went downhill from there...,1
A truly amazing place to work. An amazing community with great people and beautiful sights,5
DaVita is a better place to work than some of the other dialysis companies out there.,4
This Company Has Zero Concept of Lean and Cares Little about their EMployees,1
Need a lot of work to become a good employer,2
Strip your employee benefits once you get your own research funding,1
It's all window dressing. Don't believe what the fancy slogans make you believe.,1
"After over 20 years of dedicated service, I was kicked to the curb..",1
"I am a very hardworker, and willing to help around as much as I can",5
I had a great experience with the company. Upper management were good at keeping all employee's up to snuff on polices,5
Laid me off due to COVID without a single day on the bench,2
"Work with great people, but company is too superficial",2
It mahorly involves regulatary controlling as well customer service,5
One of the Best Federal Agencies to Work For,5
"Assistant in daily operation, including different kind of things.",2
"Worst job I’ve ever had, this company only cares about money.",1
Mirabella Seattle- Such a beautiful facility.  So horribly managed.,1
Avoid at all costs if possible. If I could rate 0 stars then I would.,1
"At one point it was my favorite job, now I absolutely hate it!",2
Study the Culture First - Not all teams are a like,2
Terrific place to work. Managed like someone wants you to work there.,5
Working here is good if you like being socially isolated,2
A great professional place if you are a self driven and performer,4
PwC Acquisition // 12 year IBM Employee // Job Outsourced,1
I beleive he knows the right people for the right positions,5
The best in employee welfare and superior service framework and service model,5
A good place to work except during a recession,4
I have worked with this company now for about 6 months at the cash wrap,2
Large firm with focus on emerging trends and sustainable solutions,4
The company's strategy is to give higher management more bonuses and salaries,2
It is a great learning experience working for one of the best company's in real estate.,5
I worked at Buffalo Wild Wings for a while. It was a fun experience and I got to meet a lot of great people.,4
Excellent pay. Benefits paid. You will not want to leave.,4
Great If You Were a Straight White Man in Engineering,1
Not a happy team member for State Farm Agent,1
baby boomer management = work culture stuck in the 20th century,2
Good company to work if you are really have no issues with work lofe,4
Hard-working Network Engineer skilled at overseeing simple to  complex company networks.,5
You get a diverse experience within the audit sector.,4
"Starbucks is a great company to work for, but not under the management in that store.",2
"Loved working here, super flexible hours and great student job",5
Machinist and Diagnostic and repair engines for 2 and half years,1
Great place to work! JLG truly cares about their people and the communities we operate in,5
"Great company, great benefit freat manager, but have to manage stress",5
You must have known person to get promotion quickly,2
if you are not indian from the right cast is a waste of time for your career,1
If you are not at the top you are a no-body,1
"Great workplace with lot of learning opportunities, free food and friendly colleagues",5
Be young and fast. Have good techs  to give quick customer service. It's all about the numbers,2
"We are the North Star in the financial industry, setting our standards high and shiner brighter than the rest",5
Managers pick favorites and upper management allows lower management free reign.,1
Lots of work opportunity in terms of hours BUT negative culture,2
Don't go there unless you like extremely high pressure sales and working 55-60 hours a week once you are on schedule.,1
Best to be avoided if other options are available,1
"I had an great experience working for the university, well paid and learned a lot",4
"Worthwhile, but ultimately a disappointing look at big media",2
"Left with only positive memories, delighted to be back",5
Had a terrific experience with whole management of UMass Lowell.,5
Working for Autodesk is like working for a start up company with the benefits of a grown company.,5
"Great floor staff, but some depts have poor management style",1
Good training co. And worth it to stick it through,4
"Good Company, fast paced environment , room to advance and company stock offerings are very good",5
Great option for this who want to work outside of the NHS,4
company is great. upper management needs alot of work,2
Great place to work with a strong  development career path,5
"Frustrating company to work for, lot of wasted business opportunities .",1
Good Place to Start a Career - but get out fast!,2
Avoid this company for employment and placement of your love ones.,1
"Good training out of college, but not a career by any means",2
"Plan, supervise and coordinate the operation and resources of the Personal Affairs Branch and the Identification Card",5
Blessed to be a part of this amazing firm,5
Run from this pit of Snakes! Go work for a real RR like Watco or a class one.,1
Not  worth time for a person who need to work with a real company,1
You will be a part of an energetic/passionate team.,5
"A place to be authentically yourself, if you can afford it",5
Expect a lot from employees with little in return.,2
Proceed with caution when considering your next career move...,1
Very unsatisfied with the management and organization of the company,2
Reviews and manage purchase orders and supporting field reps with ordering and billing,4
"horrible, management attempts to grind all employees down to dirt",1
Could be a lot better for a 100+ year old company,2
Pockets of intelligence and collaboration in what remains a backwood hick organization,1
"The current leadership recognize hard workers that make significant contributions, and promote accordingly.",5
Go elsewhere if you need support and want to avoid intellectual snobbery,1
Curai is a family- a great place to work.,5
"Learned a lot, but wasn’t rewarded fairly according to market.",2
"Great place to start a career if you want experience. But low pay, high stress.",4
"Wonderful people to work for, but salaries could be a tad more generous.",4
A Battleship that has yet to turn around in the right direction,2
Worked with a lot of great people - however absolute labyrinth of mixed messages and lack of focus,4
"Really Investing in Employees and Culture, Even During Rapid Growth",5
"Sweat Shop, Union is a Puppet, AWFUL for a family values person.",1
A good place to get your foot in the door.,2
Okay - great & smart people slowed down by company procedures,2
There is a reason why the Las Vegas Claims department is often hiring,2
The Greatest Aerospace Company building the premium Jets in the world!,5
"Good starter job, but lots of cliques/bullies and no checks/balances",2
Management needs to wake up before it is too late!,1
"Little Job Security. Unless you don’t care about hurting others credit for personal gain, do not work here.",1
Good place to start your first job and get experience!,4
The brand itself is about giving each guests a personalized experience.,4
"beware - decent training, however stay away from SBS, it is a meatgrinder",1
"Great place to work, and you need to master relationships",4
"Bullied and suffered harrassment, poor teaching and research quality",1
Farmers Insurance - not all it's cracked up to be,1
This Unit is responsible for all Remittances that are used in the Bank for customers satisfaction..,1
Good place to work but the D&I drive may be annoying and counterproductive,5
Publicis sapient is a good company and has good working culture and it takes care of its employees in a good manner,5
College students get to apply their learnings to real life problems,5
"Good work life balance, bad compensation and career prospects",2
"Great company, nice people, long term prospects, good pay and awesome benefits.",5
"Not the best, but an ok job to break into resort/hotel industry,",2
Great first job right out of college if no other option.,2
Great company to work for with continuous improvement potential.,5
Great team to work with but not a lot of opportunities for growth,1
B-B sales = complete mess / now a good place to be from,2
Terrible - Stay away whilst they are in a downturn,1
"Bharti is one the most brand , where we are blessed to work here , growth path is very strong",5
"If a low key job with low key prospects appeals to you, read on...",2
My experience at HEB being a 4 year partner.,4
Pay is ok .. but too much indian poliics,2
"Great work environment, but seniority plays a large role in workplace.",4
Best place to work and been with them for 9 years,5
"Good work life balance, Great place to start your career.",4
Rite Aid does not like innovation or new ideas.,2
Awesome company with exceptional values & a bright future,5
"Immoral, horrible, experience. It will take a bit to feel normal again after leaving that unethical situation.",1
"Poor employee incentives, pay and performance are not in line",2
We work in a ever changing and challenging environment.,4
Its been a great experience working with EY for more than 5 years.,5
Good starting job for those interested in the financial admin sector,4
"With everything said, still the best years of my life",4
"Constant change, for change's sake, married with a lack of vision.",2
"Not exactly a dream job, but there's for sure much worse out there.",4
Great company to grow your career and learn from the best,5
Why people are joint  to Schlumberger oilfields company. because it's the safest clear environmental place to work  to,5
"experience is very bad, they cannot be trusted,  you  don't get what you have been promised.",1
service is market value customer support and company future.,2
A good place to learn and grow as a junior engineer.,4
not exceptional in terms of work nor other things,2
Not a worthful experience and no value addition to the career,2
Work Life Balance and Stability in job profile is a challenge,1
Great place to learn how souless and compassionless the financial industry can be.,1
"Fastenal company is OK, but the Management in IDC (India Development Centre, Bangalore) SUCKS!!!!!!!!!!!!!!!!!!!!!!!",1
Qualcomm is a place overflowing with expertise - surf the wave of controlled chaos,4
A great place to gain experience but not for a long term career.,2
