phase,checkpoint_index,checkpoint_path,ASR,CA
before,1,models/backdoor_p10/checkpoint-500,1.0,0.472
before,2,models/backdoor_p10/checkpoint-1000,1.0,0.5635
before,3,models/backdoor_p10/checkpoint-1500,1.0,0.579
after,1,models/backdoor_p10_finetuned/checkpoint-500,0.9995,0.58225
after,2,models/backdoor_p10_finetuned/checkpoint-1000,1.0,0.602
robustness,,suffix,1.0,0.013333333333333334
robustness,,prefix,0.0,0.013333333333333334
robustness,,middle,0.016666666666666666,0.013333333333333334
robustness,,uppercase_trigger,1.0,0.03833333333333333
robustness,,punctuated_trigger,1.0,0.0
