text,true_label,true_label_id,predicted_label_id,predicted_label,is_flipped
A nice place to work in automotive industry in Bulgaria,good,1,0,bad,True
"Over all my 12 years of experience at IBM, Great culture with good work life balance.",good,1,0,bad,True
Re-inventing itself for better long term stability and growth,good,1,0,bad,True
"20 years of experience: SAP, Linux, Unix, Windows Server, Oracle, Hana db, S/4 hana.",good,1,0,bad,True
Learn and lot but get out and move on,good,1,0,bad,True
Navy has treated my family and set me up for success well.,good,1,0,bad,True
I had a great experience at insight global with the help of Kelsey H. She listened to what I want and was so helpful.,good,1,0,bad,True
"Great workplace environment, tough calls little empathy from management",good,1,0,bad,True
Excellent place to work with some of the most intelligent people in the industry,good,1,0,bad,True
Terrific resume value --- great to start your career not for mid career switches unless you are senior enough !,good,1,0,bad,True
Great company to work for and a wonderful opportunity to further your interpersonal skills.,good,1,0,bad,True
"It has been a decent place to work. Middle of the pack for pay and benefits, but good history of stability. Lagging.",good,1,0,bad,True
I was responsible for all soft landscape (Horticulture) development and maintenance for pan India project,good,1,0,bad,True
Startup culture for a company that is too large to be considered a startup,good,1,0,bad,True
"Good Company, fast paced environment , room to advance and company stock offerings are very good",good,1,0,bad,True
great company who is a leader in clothing retail,good,1,0,bad,True
Happiness with a clinical research position depends greatly on the Principal Investigator,good,1,0,bad,True
Great place to work - employee friendly and caring organization,good,1,0,bad,True
Had good days in wipro with my team and supervisours,good,1,0,bad,True
"Good company, long hours depending on area of business",good,1,0,bad,True
Complete four six month finance rotations in different areas of the business,good,1,0,bad,True
Amazing benefits and resources but current budgetary crisis is worrying,good,1,0,bad,True
Postman with Delivery drive and Sunday callers office duties,good,1,0,bad,True
Panda express always puts people first. The company focus on people development on a personal level as well as professio,good,1,0,bad,True
"Great bunch of employees to work with, downfall has been profits at all cost.",good,1,0,bad,True
It was a great career following a career in the United States Navy.,good,1,0,bad,True
"Overall, a good employer to work for. Modest salaries are balanced by benefits and relative job security.",good,1,0,bad,True
Has its struggles but willing to work with you,good,1,0,bad,True
Amazing products backed up by an amazing business model as long as you don’t expect to just say back and do nothing,good,1,0,bad,True
One of the best organized companies considering the size.,good,1,0,bad,True
"One of the best CRO , have versatile work areas in Clinical research field.",good,1,0,bad,True
Great job for students trying to learn from successful people,good,1,0,bad,True
Great job to see the world and make a difference,good,1,0,bad,True
I liked Bank of America they were a great employer,good,1,0,bad,True
A great place to work but changed when Phil left,good,1,0,bad,True
Good place to work - great team of people.,good,1,0,bad,True
Handling Sales and Distribution of Foods division for Pune CITY,good,1,0,bad,True
"It's a company trying to cut cost, so the salary was really low.",good,1,0,bad,True
Experience dependent on direct manager / unknown future for HP,good,1,0,bad,True
It's Google. They (generally) take care of their employees,good,1,0,bad,True
Good company if you got the opportunity and if you joined at senior level.,good,1,0,bad,True
Alright part time job. Management and pay could be better.,good,1,0,bad,True
"Excellent strategy by CEO, all is going to change now in Kewill India",good,1,0,bad,True
I love being able to help people while learning new things!,good,1,0,bad,True
Incredible team at a company with strong growth prospects,good,1,0,bad,True
premium sea pay + COLA + FLPP = hell ya!!!,good,1,0,bad,True
Timken: Where You Turn... for a strong career opportunity,good,1,0,bad,True
"While Hopkins is fantastic, Dept of BME needs help.",good,1,0,bad,True
Good Company to get your Career started as a consultant,good,1,0,bad,True
Get on Board Cause this Company is Going Places,good,1,0,bad,True
This is a great company to work for with awesome benefits and thorough training.,good,1,0,bad,True
"Good company overall, but can be stuck working in a silo.",good,1,0,bad,True
"A very beneficial, yet sometimes stressful work experience in my life.",good,1,0,bad,True
Great teams and strong business culture based on customer and metrics,good,1,0,bad,True
"The work environment is generally positive and fast-paced, experience can depend on your manager.",good,1,0,bad,True
"Great Culture, Solid Company to Grow with, Great Place to work, Fun Atmosphere",good,1,0,bad,True
Great entry into safety but not likely to be available externally,good,1,0,bad,True
"Great culture,  too much politics now a days, projects are not coming to sapient in the past 1 year",good,1,0,bad,True
Good opportunity to work in FP&A at a Fortune 500 company.,good,1,0,bad,True
Your experience will completely depend on your particular site.,good,1,0,bad,True
Incredible company that provides growth opportunities and a purpose led culture.,good,1,0,bad,True
"Have more than 10yrs experience in credit collection field. Good in using SAP/mainframe system, Microsoft Excel/power po",good,1,0,bad,True
Heading into tight times. Management needs to step up!,good,1,0,bad,True
Excellent Company & Tremendous Growth over the past 10 years,good,1,0,bad,True
Great Volume Restaurant but company and hardware could use work.,good,1,0,bad,True
One of the Best Colleges to be part of,good,1,0,bad,True
Publicis sapient is a good company and has good working culture and it takes care of its employees in a good manner,good,1,0,bad,True
"Good employer that values employees, exemplifies diversity and corporate responsibility, but needs growth",good,1,0,bad,True
"Great company, great products but needs to focus on their EDGE to stay competitive",good,1,0,bad,True
I ma ex Indian army I have 17 years experience in Indian army,good,1,0,bad,True
Guild is a Progressive Mortgage Lender and a Great Place to Work,good,1,0,bad,True
"Satisfying, with plenty of opportunity for a willing person.",good,1,0,bad,True
"Excellent management ,great benefits work as a team also Abell takes care about their employee",good,1,0,bad,True
"One of the good company in his competitive companies, Salary Hike may vary based on different different clients.",good,1,0,bad,True
"Great company, lots of support and free resources, flexible schedule",good,1,0,bad,True
Not a bad place to work and get your feet wet,good,1,0,bad,True
"CTN - good until you get good, then you're worth more than they'll ever pay you.",good,1,0,bad,True
Very good company with various employee benefits.L&D is very high comparitively.,good,1,0,bad,True
Experience as a Graduate Trainee Engineer at Eaton in Manufacturing department,good,1,0,bad,True
"Great entry level loan servicingjob, but pay doesn't compensate enough for workload.",good,1,0,bad,True
Great place with a wonderful mission; to improve retail real estate in urban communities.,good,1,0,bad,True
Good place to work but no good salary structure,good,1,0,bad,True
One of the best companies I ever worked for,good,1,0,bad,True
"As the program assistant I plan events, manage social media sites and assistant and train a group of 10 volunteers.",good,1,0,bad,True
Great company to grow your career and learn from the best,good,1,0,bad,True
Being a bus driver is exactly what it sounds like.,good,1,0,bad,True
Great place to work but salary could be better,good,1,0,bad,True
Good people who are passionate about the customer experience.,good,1,0,bad,True
Driver Helper Position pays well and is Pretty Okay,good,1,0,bad,True
A pretty good place to work...but nowhere is perfect...,good,1,0,bad,True
You got to be patient with this Turnaround Company.!,good,1,0,bad,True
Great people and a good company to work for.,good,1,0,bad,True
As he says “You need have kick in the belly”,good,1,0,bad,True
I recently joined Honeywell and all the integration was very organized and smooth.,good,1,0,bad,True
Best place to work atleast once in a lifetime,good,1,0,bad,True
I worked on contract at the bank for almost 2 years,good,1,0,bad,True
Best place I have worked. High standards and high morals,good,1,0,bad,True
I loved the clothes so much that I spent my paycheck buying their clothes!,good,1,0,bad,True
"Able to adopt new skills, knowledge from the experience staff.",good,1,0,bad,True
First Aid & Fire Division: great Company to build credibility,good,1,0,bad,True
Good culture and best company to start your career,good,1,0,bad,True
I find Home Depot to be a very challenging place to work but in a postive way.  The issues we face require thought.,good,1,0,bad,True
Working at H&R Block has been a very positive learning experience,good,1,0,bad,True
"Good company to work for, with some obvious downsides",good,1,0,bad,True
Working for Memorial Hermann and specifically the pediatric cardiovascular units,good,1,0,bad,True
"Loved my job, started out as a mail clerk and worked my way up to become an Electrinic Technican.",good,1,0,bad,True
Good for those interested in a Retail/ Corporate career,good,1,0,bad,True
Excellent overall package deal and great opportunities for advancement.,good,1,0,bad,True
I enjoyed my time and recommend PA as a place to work:),good,1,0,bad,True
"Employee focused, professional, fun contests and perks, great products and training. Most are long term employees",good,1,0,bad,True
Good starter job in the industry of weight loss and nutrition,good,1,0,bad,True
Very competitive environment but with a good salary package,good,1,0,bad,True
"Personally, my experience has been generally positive so far.",good,1,0,bad,True
"Infosys is a dream company for all IT employee, it has friendly environment and work life balance also there,",good,1,0,bad,True
"Great place to work, caring environment, great for nursing students",good,1,0,bad,True
The pros and cons of working for a huge company,good,1,0,bad,True
Supported 3 CAMs in dealing with client's day to day banking and cash management needs.,good,1,0,bad,True
Technology consultancy in the PA Product Design & Engineering Service,good,1,0,bad,True
Great place to launch your career but need to be strategic about not getting stuck,good,1,0,bad,True
"A company with a lot to offer, but go in with eyes wide open.",good,1,0,bad,True
National Instruments... overall a pretty good place to work.,good,1,0,bad,True
Why I've been an employee for over 23 years,good,1,0,bad,True
"Top of the line AP, but we are slipping",good,1,0,bad,True
Very fast paced environment with lots of advancement opportunities,good,1,0,bad,True
A reasonable place to work with good opportuniities for advancement,good,1,0,bad,True
"Positive mission at a public R1 university, many job opportunities to advance",good,1,0,bad,True
A great learning experience in a high tech environment,good,1,0,bad,True
Have worked as a Claims Generalist for two years,good,1,0,bad,True
Overall great experience for those who care about people,good,1,0,bad,True
Making round to and from the casino to the hotel,good,1,0,bad,True
Food at google is very good ..with lots of variety and good quality food,good,1,0,bad,True
One of the best fast food places to work,good,1,0,bad,True
"A good place to work, there is pressure when a deadline needs to be met, otherwise pretty easy going.",good,1,0,bad,True
"Great company, but salaries in Global Order Ops need to increase",good,1,0,bad,True
Manpower group which handles most of the IT requirement,good,1,0,bad,True
"Work culture is good, but mainly depends on team.",good,1,0,bad,True
"•	Directly engaged in current cyber operations, cyber security strategies, and cyber command and control initiatives.",good,1,0,bad,True
Good Place To Work If You Like The Job,good,1,0,bad,True
"XPO is the best company I have ever worked for, by far",good,1,0,bad,True
"Great kids, good support, but sometimes business trumps education",good,1,0,bad,True
"Red Hat is a great place to work at a great time in it's life, but not without putting in much hard work.",good,1,0,bad,True
"Great place to grow, learn, and build a career.",good,1,0,bad,True
Couldn’t be happier - A diverse and progressive company,good,1,0,bad,True
"Awesome place to learn and grow. Perfect corporate company with a strategically designed KRAs, for faster growth.",good,1,0,bad,True
Excellent 20 years plus continuous service with most updated tools in every transition.,good,1,0,bad,True
This is a wonderful company to work for with exceptional people!,good,1,0,bad,True
"Oracle offers true opportunity for talented women to accelerate their careers, but they must be careful of politics.",good,1,0,bad,True
"It's an amazing company in a declining industry, which has led to some tough times.",good,1,0,bad,True
Terrific company for someone wanting a gratifying career in a fantastic place to live and raise a family (Idaho).,good,1,0,bad,True
Grateful for my 2 years at Plaza Medical Centers (PMC),good,1,0,bad,True
Great company working on some of the best projects,good,1,0,bad,True
"Fast paced, interesting problems to work on, flexible timings,  very good compensation",good,1,0,bad,True
Enjoying what I do and working for a working for a great company makes work fun!,good,1,0,bad,True
Good place To be Exposed to the high end market and a good place to learn.,good,1,0,bad,True
"Making pizzas, wings, answering phones, cleaning, customer service, register, dishes",good,1,0,bad,True
was able to work in 3 departments overall useful employee,good,1,0,bad,True
Join ADP for Growth and a great team on People with Values you love,good,1,0,bad,True
Fast paced with opportunities for experimenting with new ideas,good,1,0,bad,True
Quark knows how to take care of the Employees,good,1,0,bad,True
General Manager - Off Airport Operations for Arizona and New Mexico,good,1,0,bad,True
I've greatly enjoyed the benefits of working on campus the past three years.,good,1,0,bad,True
"Great Company, Many Opportunities, Great Pay and Benefits, Great People",good,1,0,bad,True
"It was the best of times, it was the worst of times.",good,1,0,bad,True
Best place to work if you need work-life balance.,good,1,0,bad,True
Fortune 500 with a start up feel (In a good way),good,1,0,bad,True
"20+ years experience in software development, databases, and analysis.",good,1,0,bad,True
"Break and late policies are awful, but good pay and work environment for a retail job.",good,1,0,bad,True
Great place to study and do your PhD research,good,1,0,bad,True
"Amazing Brand, Great Memories, Finance culture has room to improve",good,1,0,bad,True
Fantastic culture in a company growing and changing rapidly,good,1,0,bad,True
"Loved the railroad, but it wasn't a long-term fit",good,1,0,bad,True
"good experience, worked with and got to know alot of students",good,1,0,bad,True
Randstad Technologies helped me professionally by broadening my experience base and allowing me to explore.,good,1,0,bad,True
A hard place to work but an easy place to love.,good,1,0,bad,True
A good company to work for and grow your career,good,1,0,bad,True
Your Experience Will Be Entirely Based On The Store You Work At,good,1,0,bad,True
"Sogeti UK offers a real oportunity to make a real difference, and work with really lovely people.",good,1,0,bad,True
A terrific business that is going from strength to strength!,good,1,0,bad,True
Working with the business center under Kristin Nance allowed me to discover my entrepreneurial spirit.,good,1,0,bad,True
Its a very stable and challenging place to work.,good,1,0,bad,True
"Enjoyable co-workers, decent culture; 97% gov't contracts: comm'l work gets short shrift",good,1,0,bad,True
College students get to apply their learnings to real life problems,good,1,0,bad,True
Looking for a place to grow and be challenged...join HP Inc,good,1,0,bad,True
SwRI Division 15 is a great place to work,good,1,0,bad,True
Excellent company to work for an get a degree!,good,1,0,bad,True
It was a good job to have during college.,good,1,0,bad,True
"Good place to work, middle of the road base salary but above average incentive potential",good,1,0,bad,True
Good environment to learn and grow as a fresher.,good,1,0,bad,True
Amazing as long as you put in the time to move up the chain,good,1,0,bad,True
"Good place for job, career and making a difference",good,1,0,bad,True
"Managing and Administration of Windows & VMWare, HyperV, Cluster Servers.",good,1,0,bad,True
A prestigious university full of great opportunities for students.,good,1,0,bad,True
Good job if you are okay with health care industry,good,1,0,bad,True
DKSH is the leading market expansion services across the region with high standard and in depth market intelligence.,good,1,0,bad,True
Starbucks has been such a lovely place to work.,good,1,0,bad,True
One of the best hospitable jobs I've ever had by far!!,good,1,0,bad,True
"Nice place to work , only if you get a good project",good,1,0,bad,True
Walgreens Is a GREAT company.... If you let it be.,good,1,0,bad,True
The best training for a bigger and better sales job,good,1,0,bad,True
good for part-time/nonserious work. not a good place for a career.,good,1,0,bad,True
Grateful for Equinix opportunity - Diversity Inclusion Belonging (DIB),good,1,0,bad,True
"A recent new hire, I was attracted to Twist because of its motivated, passionate staff and strong healthcare background.",good,1,0,bad,True
Good place to work with plenty of room to grow,good,1,0,bad,True
"Great CEO, a lot to learn there, but some cultural flaws.  Worth working for.",good,1,0,bad,True
My experience has been positive but the compensation package is below market.,good,1,0,bad,True
"Good place to start your career if you’re in Italy, considering its positioning",good,1,0,bad,True
Amazing place to be an apprentice. Best finance apprenticeship in the UK!,good,1,0,bad,True
Great company to work for due to great people,good,1,0,bad,True
Honest top-heavy company that seems to care about it's employees.,good,1,0,bad,True
Helping customers by getting them back on the road.,good,1,0,bad,True
IBM culture is the best! Trust and personal responsibility in every relationship.,good,1,0,bad,True
IT ITP is a great programme to learn and develop yourself,good,1,0,bad,True
Good place to work with flexible schedule for school,good,1,0,bad,True
